State,Year_Num,LFPR,WPR,UR,Next_LFPR_Change,Target_Improved,LFPR_YoY_Change,NonAgriculture_Pct,SecondaryPlus_Pct,VocationalTraining_Pct,PMMY_Growth,LFPR_Lag1,LFPR_Lag2
Jharkhand,2019,27.483333333333334,26.541666666666668,5.408333333333334,5.991666666666667,1,9.41060606060606,41.95666666666666,10.296783625730994,8.4,3.9707288676836594,18.072727272727274,13.450000000000001
Jharkhand,2020,33.475,32.766666666666666,3.7416666666666667,1.93333333333333,0,5.991666666666667,0.0,10.336257309941521,9.7,-18.494783558423112,27.483333333333334,18.072727272727274
Jharkhand,2021,35.40833333333333,34.6,3.733333333333333,-1.4083333333333314,0,1.93333333333333,38.00666666666667,10.447953216374268,10.5,6.0322799352542145,33.475,27.483333333333334
Jharkhand,2022,34.0,33.358333333333334,3.9,3.7666666666666657,0,-1.4083333333333314,37.82,10.973214285714286,14.7,15.828587678462336,35.40833333333333,33.475
Karnataka,2017,23.208333333333332,21.45,8.341666666666667,1.1916666666666664,0,,52.52333333333333,9.987134502923976,4.7,21.232553388327524,,
Karnataka,2018,24.4,23.254545454545454,5.854545454545455,6.641666666666669,1,1.1916666666666664,55.81333333333333,9.984795321637428,6.2,24.39139904218508,23.208333333333332,
Karnataka,2019,31.041666666666668,27.650000000000002,12.058333333333332,0.07499999999999574,0,6.641666666666669,50.593333333333334,10.296783625730994,8.4,3.9707288676836594,24.4,23.208333333333332
Karnataka,2020,31.116666666666664,29.583333333333332,5.708333333333333,-3.974999999999998,0,0.07499999999999574,0.0,10.336257309941521,9.7,-18.494783558423112,31.041666666666668,24.4
Karnataka,2021,27.141666666666666,25.900000000000002,5.408333333333334,6.399999999999999,1,-3.974999999999998,51.303333333333335,10.447953216374268,10.5,6.0322799352542145,31.116666666666664,31.041666666666668
Karnataka,2022,33.541666666666664,32.09166666666667,4.883333333333334,-0.68333333333333,0,6.399999999999999,51.29333333333333,10.973214285714286,14.7,15.828587678462336,27.141666666666666,31.116666666666664
Kerala,2017,25.983333333333334,17.333333333333332,33.824999999999996,6.125757575757575,1,,81.74333333333334,9.987134502923976,4.7,21.232553388327524,,
Kerala,2018,32.10909090909091,23.645454545454548,29.90909090909091,-1.950757575757578,0,6.125757575757575,81.58,9.984795321637428,6.2,24.39139904218508,25.983333333333334,
Kerala,2019,30.15833333333333,22.941666666666666,25.3,0.908333333333335,0,-1.950757575757578,77.2,10.296783625730994,8.4,3.9707288676836594,32.10909090909091,25.983333333333334
Kerala,2020,31.066666666666666,23.925,24.724999999999998,3.0000000000000036,0,0.908333333333335,13.700000000000003,10.336257309941521,9.7,-18.494783558423112,30.15833333333333,32.10909090909091
Kerala,2021,34.06666666666667,27.058333333333334,22.200000000000003,0.5916666666666615,0,3.0000000000000036,71.29,10.447953216374268,10.5,6.0322799352542145,31.066666666666666,30.15833333333333
Kerala,2022,34.65833333333333,28.433333333333334,19.599999999999998,2.8999999999999986,0,0.5916666666666615,62.70000000000001,10.973214285714286,14.7,15.828587678462336,34.06666666666667,31.066666666666666
Ladakh,2017,26.400000000000002,22.541666666666668,15.525,5.336363636363636,1,,38.416666666666664,9.987134502923976,4.7,21.232553388327524,,
Ladakh,2018,31.736363636363638,26.736363636363638,19.490909090909092,10.771969696969695,1,5.336363636363636,40.42,9.984795321637428,6.2,24.39139904218508,26.400000000000002,
Ladakh,2019,42.50833333333333,42.50833333333333,0.0,8.166666666666671,1,10.771969696969695,40.67666666666667,10.296783625730994,8.4,3.9707288676836594,31.736363636363638,26.400000000000002
Ladakh,2020,50.675000000000004,43.925000000000004,20.291666666666668,-13.825000000000003,0,8.166666666666671,0.0,10.336257309941521,9.7,-18.494783558423112,42.50833333333333,31.736363636363638
Ladakh,2021,36.85,34.449999999999996,8.95,8.891666666666666,1,-13.825000000000003,47.20333333333334,10.447953216374268,10.5,6.0322799352542145,50.675000000000004,42.50833333333333
Ladakh,2022,45.74166666666667,39.208333333333336,18.158333333333335,-4.408333333333331,0,8.891666666666666,32.803333333333335,10.973214285714286,14.7,15.828587678462336,36.85,50.675000000000004
Lakshadweep,2017,21.8,10.6,48.00833333333333,-0.48181818181818414,0,,91.55333333333333,9.987134502923976,4.7,21.232553388327524,,
