Country,State,Year,Type Of Areas,Age Group,Gender,"Labour Force Participation Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1","Worker Population Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"," Unemployment Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Male,87.7,86.2,1.8
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Female,70.5,69.5,1.4
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Persons,79.2,77.9,1.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Male,84.6,83.2,1.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Female,65.9,65,1.3
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Persons,75.2,74.1,1.5
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Male,65.2,64.1,1.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Female,50.4,49.7,1.3
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Persons,57.8,56.9,1.5
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Male,60.9,50.3,17.4
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Female,32.3,23.7,26.7
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Persons,46.7,37.1,20.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Male,82.8,77.3,6.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Female,36.8,32.7,10.9
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Persons,60.6,55.8,7.9
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Male,78.8,73.7,6.4
