Country,Year,Gender,Type Of Residence,Type Of Technical Training,"Estimated Persons (UOM:Number), Scaling Factor:1","Percentage Distribution (UOM:%(Percentage)), Scaling Factor:1","Sample Persons (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,,16.6,18712
India,"PLFS Year (Jul - Jun), 2022",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,,10.5,5883
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural,Vocational/Technical Training Received_Other than Formal_All,,17.5,11959
India,"PLFS Year (Jul - Jun), 2022",Male,Rural,Vocational/Technical Training Received_Other than Formal_All,,23.4,7898
India,"PLFS Year (Jul - Jun), 2022",Male,Urban,Vocational/Technical Training Received_Other than Formal_All,,20.2,4931
India,"PLFS Year (Jul - Jun), 2022",Female,Urban,Vocational/Technical Training Received_Other than Formal_All,,8.1,1822
India,"PLFS Year (Jul - Jun), 2022",Persons,Urban,Vocational/Technical Training Received_Other than Formal_All,,14.5,6753
India,"PLFS Year (Jul - Jun), 2022",Female,Rural,Vocational/Technical Training Received_Other than Formal_All,,11.4,4061
India,"PLFS Year (Jul - Jun), 2022",Male,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,,27.1,15756
India,"PLFS Year (Jul - Jun), 2022",Male,Urban,Vocational/Technical Training Received_Formal & Other than Formal,,27.2,6542
India,"PLFS Year (Jul - Jun), 2022",Persons,Urban,Vocational/Technical Training Received_Formal & Other than Formal,,21.7,9941
India,"PLFS Year (Jul - Jun), 2022",Female,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,,14.7,8527
India,"PLFS Year (Jul - Jun), 2022",Female,Rural,Vocational/Technical Training Received_Formal & Other than Formal,,14.4,5128
India,"PLFS Year (Jul - Jun), 2022",Male,Rural,Vocational/Technical Training Received_Formal & Other than Formal,,27.1,9214
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural,Vocational/Technical Training Received_Formal & Other than Formal,,20.8,14342
India,"PLFS Year (Jul - Jun), 2022",Female,Urban,Vocational/Technical Training Received_Formal & Other than Formal,,15.4,3399
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,,21.1,24283
India,"PLFS Year (Jul - Jun), 2022",Male,Urban,Did not Receive Vocational/ Technical Training,,72.8,18251
India,"PLFS Year (Jul - Jun), 2022",Female,Rural,Did not Receive Vocational/ Technical Training,,85.6,25849
India,"PLFS Year (Jul - Jun), 2022",Persons,Urban,Did not Receive Vocational/ Technical Training,,78.3,37466
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural+Urban,Did not Receive Vocational/ Technical Training,,78.9,87023
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural,Did not Receive Vocational/ Technical Training,,79.2,49557
India,"PLFS Year (Jul - Jun), 2022",Male,Rural+Urban,Did not Receive Vocational/ Technical Training,,72.9,41959
India,"PLFS Year (Jul - Jun), 2022",Male,Rural,Did not Receive Vocational/ Technical Training,,72.9,23708
India,"PLFS Year (Jul - Jun), 2022",Female,Urban,Did not Receive Vocational/ Technical Training,,84.6,19215
India,"PLFS Year (Jul - Jun), 2022",Female,Rural+Urban,Did not Receive Vocational/ Technical Training,,85.3,45064
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural,Vocational/Technical Training Received_Formal,65263.0,2.9,2066
India,"PLFS Year (Jul - Jun), 2021",Male,Urban,Vocational/Technical Training Received_Formal,31972.0,7.0,1465
India,"PLFS Year (Jul - Jun), 2021",Persons,Urban,Vocational/Technical Training Received_Formal,61106.0,7.1,2895
India,"PLFS Year (Jul - Jun), 2021",Male,Rural,Vocational/Technical Training Received_Formal,36288.0,3.2,1166
India,"PLFS Year (Jul - Jun), 2021",Female,Urban,Vocational/Technical Training Received_Formal,29134.0,7.1,1430
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural+Urban,Vocational/Technical Training Received_Formal,126370.0,4.1,4961
India,"PLFS Year (Jul - Jun), 2021",Male,Rural+Urban,Vocational/Technical Training Received_Formal,68260.0,4.3,2631
India,"PLFS Year (Jul - Jun), 2021",Female,Rural,Vocational/Technical Training Received_Formal,28976.0,2.7,900
India,"PLFS Year (Jul - Jun), 2021",Female,Rural+Urban,Vocational/Technical Training Received_Formal,58110.0,3.9,2330
India,"PLFS Year (Jul - Jun), 2021",Male,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,56421.0,5.0,1512
India,"PLFS Year (Jul - Jun), 2021",Female,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,25954.0,2.4,709
India,"PLFS Year (Jul - Jun), 2021",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,27901.0,1.9,862
India,"PLFS Year (Jul - Jun), 2021",Male,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,5797.0,1.3,322
India,"PLFS Year (Jul - Jun), 2021",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,7744.0,0.9,475
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,90119.0,2.9,2696
India,"PLFS Year (Jul - Jun), 2021",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,62218.0,3.9,1834
India,"PLFS Year (Jul - Jun), 2021",Female,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,1947.0,0.5,153
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,82375.0,3.7,2221
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,73988.0,3.3,2295
India,"PLFS Year (Jul - Jun), 2021",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,36703.0,2.5,1320
India,"PLFS Year (Jul - Jun), 2021",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,24404.0,2.8,1293
India,"PLFS Year (Jul - Jun), 2021",Male,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,16858.0,3.7,867
India,"PLFS Year (Jul - Jun), 2021",Female,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,29157.0,2.7,894
India,"PLFS Year (Jul - Jun), 2021",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,61689.0,3.9,2268
India,"PLFS Year (Jul - Jun), 2021",Male,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,44831.0,4.0,1401
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,98392.0,3.2,3588
India,"PLFS Year (Jul - Jun), 2021",Female,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,7546.0,1.8,426
India,"PLFS Year (Jul - Jun), 2021",Female,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,12644.0,1.2,395
India,"PLFS Year (Jul - Jun), 2021",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,23143.0,1.5,848
India,"PLFS Year (Jul - Jun), 2021",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,111256.0,7.0,4236
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,79358.0,3.6,2489
India,"PLFS Year (Jul - Jun), 2021",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,55041.0,6.4,2595
India,"PLFS Year (Jul - Jun), 2021",Female,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,10500.0,2.6,453
India,"PLFS Year (Jul - Jun), 2021",Male,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,66714.0,5.9,2094
India,"PLFS Year (Jul - Jun), 2021",Male,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,44541.0,9.8,2142
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,134399.0,4.4,5084
India,"PLFS Year (Jul - Jun), 2021",Male,Urban,Vocational/Technical Training Received_Other than Formal_Others,4985.0,1.1,354
India,"PLFS Year (Jul - Jun), 2021",Male,Rural,Vocational/Technical Training Received_Other than Formal_Others,8057.0,0.7,367
India,"PLFS Year (Jul - Jun), 2021",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,13041.0,0.8,721
India,"PLFS Year (Jul - Jun), 2021",Female,Rural,Vocational/Technical Training Received_Other than Formal_Others,8275.0,0.8,389
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,24589.0,0.8,1346
India,"PLFS Year (Jul - Jun), 2021",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Others,8257.0,1.0,590
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Others,16331.0,0.7,756
India,"PLFS Year (Jul - Jun), 2021",Female,Urban,Vocational/Technical Training Received_Other than Formal_Others,3272.0,0.8,236
India,"PLFS Year (Jul - Jun), 2021",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,11547.0,0.8,625
India,"PLFS Year (Jul - Jun), 2021",Persons,Urban,Vocational/Technical Training Received_Other than Formal_All,95446.0,11.1,4953
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,347498.0,11.3,12714
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural,Vocational/Technical Training Received_Other than Formal_All,252052.0,11.4,7761
India,"PLFS Year (Jul - Jun), 2021",Male,Urban,Vocational/Technical Training Received_Other than Formal_All,72181.0,15.9,3685
India,"PLFS Year (Jul - Jun), 2021",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,248204.0,15.7,9059
India,"PLFS Year (Jul - Jun), 2021",Male,Rural,Vocational/Technical Training Received_Other than Formal_All,176023.0,15.6,5374
India,"PLFS Year (Jul - Jun), 2021",Female,Urban,Vocational/Technical Training Received_Other than Formal_All,23265.0,5.7,1268
India,"PLFS Year (Jul - Jun), 2021",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,99294.0,6.6,3655
India,"PLFS Year (Jul - Jun), 2021",Female,Rural,Vocational/Technical Training Received_Other than Formal_All,76029.0,7.0,2387
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,473868.0,15.4,17675
India,"PLFS Year (Jul - Jun), 2021",Male,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,316463.0,20.0,11690
India,"PLFS Year (Jul - Jun), 2021",Female,Urban,Vocational/Technical Training Received_Formal & Other than Formal,52400.0,12.8,2698
India,"PLFS Year (Jul - Jun), 2021",Female,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,157404.0,10.5,5985
India,"PLFS Year (Jul - Jun), 2021",Male,Urban,Vocational/Technical Training Received_Formal & Other than Formal,104153.0,23.0,5150
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural,Vocational/Technical Training Received_Formal & Other than Formal,317315.0,14.3,9827
India,"PLFS Year (Jul - Jun), 2021",Female,Rural,Vocational/Technical Training Received_Formal & Other than Formal,105005.0,9.7,3287
India,"PLFS Year (Jul - Jun), 2021",Persons,Urban,Vocational/Technical Training Received_Formal & Other than Formal,156553.0,18.1,7848
India,"PLFS Year (Jul - Jun), 2021",Male,Rural,Vocational/Technical Training Received_Formal & Other than Formal,212310.0,18.8,6540
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural,Did not Receive Vocational/ Technical Training,1895946.0,85.7,57827
India,"PLFS Year (Jul - Jun), 2021",Persons,Rural+Urban,Did not Receive Vocational/ Technical Training,2602441.0,84.6,98246
India,"PLFS Year (Jul - Jun), 2021",Male,Rural+Urban,Did not Receive Vocational/ Technical Training,1266398.0,80.0,48485
India,"PLFS Year (Jul - Jun), 2021",Male,Rural,Did not Receive Vocational/ Technical Training,916834.0,81.2,28465
India,"PLFS Year (Jul - Jun), 2021",Persons,Urban,Did not Receive Vocational/ Technical Training,706495.0,81.9,40419
India,"PLFS Year (Jul - Jun), 2021",Female,Urban,Did not Receive Vocational/ Technical Training,356932.0,87.2,20399
