Country,State,Year,Age Group,Type Of Area,Gender,"Unemployment Rate (Ur) (UOM:%(Percentage)), Scaling Factor:1"
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Person,10.3
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Male,7.8
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Female,15.4
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Person,10.3
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Male,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Female,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Person,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Male,4.1
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Female,15.7
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Person,7.4
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Male,4.1
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Female,15.7
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Person,7.4
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Male,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Female,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Person,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Male,3.9
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Female,15.3
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Person,7.1
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Male,3.9
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Female,15.3
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Person,7.1
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Male,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Female,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Person,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Male,3.9
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Female,15.3
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Person,7.1
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Male,3.9
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Female,15.3
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Person,7.1
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Male,4.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Female,2.8
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Person,3.9
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Male,17.4
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Female,26.7
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Person,20.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Male,6.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Female,5.8
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Person,6.3
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Male,1.8
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Female,1.4
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Person,1.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Male,6.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Female,10.9
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Person,7.9
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Male,2.8
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Female,2.5
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Person,2.7
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Male,1.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Female,1.3
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Person,1.5
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Male,6.4
